SETOR;SUBSETOR;SEGUIMENTO;BASE_TICKER;EMPRESA
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RRRP;3R PETROLEUM
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;CSAN;COSAN       
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;DMMO;DOMMO
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;ENAT;ENAUTA PART
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RPMG;PET MANGUINH
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PETR;PETROBRAS   
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RECV;PETRORECSA 
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PRIO;PETRORIO
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;UGPA;ULTRAPAR    
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;VBBR;VIBRA
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;LUPA;LUPATECH    
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OPCT;OCEANPACT
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OSXB;OSX BRASIL  
Materiais Básicos;Mineração;Minerais Metálicos;AURA;AURA 360
Materiais Básicos;Mineração;Minerais Metálicos;BRAP;BRADESPAR   
Materiais Básicos;Mineração;Minerais Metálicos;CBAV;CBA
Materiais Básicos;Mineração;Minerais Metálicos;CMIN;CSNMINERACAO
Materiais Básicos;Mineração;Minerais Metálicos;LTEL;LITEL       
Materiais Básicos;Mineração;Minerais Metálicos;LTLA;LITELA
Materiais Básicos;Mineração;Minerais Metálicos;MMXM;MMX MINER   
Materiais Básicos;Mineração;Minerais Metálicos;VALE;VALE        
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;FESA;FERBASA     
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GGBR;GERDAU      
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GOAU;GERDAU MET  
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;CSNA;SID NACIONAL
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;USIM;USIMINAS    
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;MGEL;MANGELS INDL
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;PATI;PANATLANTICA
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;TKNO;TEKNO       
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;PMAM;PARANAPANEMA
Materiais Básicos;Químicos;Petroquímicos;BRKM;BRASKEM     
Materiais Básicos;Químicos;Petroquímicos;DEXP;DEXXOS PAR
Materiais Básicos;Químicos;Fertilizantes e Defensivos;FHER;FER HERINGER
Materiais Básicos;Químicos;Fertilizantes e Defensivos;NUTR;NUTRIPLANT  
Materiais Básicos;Químicos;Fertilizantes e Defensivos;VITT;VITTIA
Materiais Básicos;Químicos;Químicos Diversos;CRPG;CRISTAL
Materiais Básicos;Químicos;Químicos Diversos;UNIP;UNIPAR      
Materiais Básicos;Madeira e Papel;Madeira;DXCO;DEXCO
Materiais Básicos;Madeira e Papel;Madeira;EUCA;EUCATEX     
Materiais Básicos;Madeira e Papel;Papel e Celulose;KLBN;KLABIN S/A  
Materiais Básicos;Madeira e Papel;Papel e Celulose;MSPA;MELHOR SP   
Materiais Básicos;Madeira e Papel;Papel e Celulose;NEMO;SUZANO HOLD 
Materiais Básicos;Madeira e Papel;Papel e Celulose;SUZB;SUZANO S.A.
Materiais Básicos;Embalagens;Embalagens;RANI;IRANI 
Materiais Básicos;Embalagens;Embalagens;MTIG;METAL IGUACU
Materiais Básicos;Materiais Diversos;Materiais Diversos;SNSY;SANSUY      
Bens Industriais;Construção e Engenharia;Produtos para Construção;ETER;ETERNIT     
Bens Industriais;Construção e Engenharia;Produtos para Construção;HAGA;HAGA S/A    
Bens Industriais;Construção e Engenharia;Produtos para Construção;PTBL;PORTOBELLO  
Bens Industriais;Construção e Engenharia;Construção Pesada;AZEV;AZEVEDO     
Bens Industriais;Construção e Engenharia;Engenharia Consultiva;SOND;SONDOTECNICA
Bens Industriais;Construção e Engenharia;Engenharia Consultiva;TCNO;TECNOSOLO   
Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;EMBR;EMBRAER     
Bens Industriais;Material de Transporte;Material Rodoviário;FRAS;FRAS-LE     
Bens Industriais;Material de Transporte;Material Rodoviário;POMO;MARCOPOLO   
Bens Industriais;Material de Transporte;Material Rodoviário;RAPT;RANDON PART 
Bens Industriais;Material de Transporte;Material Rodoviário;RCSL;RECRUSUL    
Bens Industriais;Material de Transporte;Material Rodoviário;RSUL;RIOSULENSE  
Bens Industriais;Material de Transporte;Material Rodoviário;TUPY;TUPY        
Bens Industriais;Material de Transporte;Material Rodoviário;MWET;WETZEL S/A  
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;SHUL;SCHULZ      
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;WEGE;WEG         
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;EALT;ACO ALTONA  
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;AERI;AERIS
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;ARML;ARMAC
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;BDLL;BARDELLA    
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;INEP;INEPAR      
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;KEPL;KEPLER WEBER
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;FRIO;METALFRIO   
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;MILS;MILLS       
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;NORD;NORDON MET  
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;PTCA;PRATICA
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;ROMI;ROMI   
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;MTSA;METISA      
Bens Industriais;Máquinas e Equipamentos;Armas e Munições;TASA;TAURUS ARMAS
Bens Industriais;Transporte;Transporte Aéreo;AZUL;AZUL
Bens Industriais;Transporte;Transporte Aéreo;GOLL;GOL         
Bens Industriais;Transporte;Transporte Ferroviário;FRRN;ALL NORTE   
Bens Industriais;Transporte;Transporte Ferroviário;GASC;ALL PAULISTA
Bens Industriais;Transporte;Transporte Ferroviário;VSPT;FER C ATLANT
Bens Industriais;Transporte;Transporte Ferroviário;MRSA;MRS LOGIST  
Bens Industriais;Transporte;Transporte Ferroviário;RAIL;RUMO S.A.
Bens Industriais;Transporte;Transporte Hidroviário;HBSA;HIDROVIAS
Bens Industriais;Transporte;Transporte Hidroviário;LOGN;LOG-IN      
Bens Industriais;Transporte;Transporte Hidroviário;LUXM;TREVISA     
Bens Industriais;Transporte;Transporte Rodoviário;JSLG;JSL         
Bens Industriais;Transporte;Transporte Rodoviário;TGMA;TEGMA       
Bens Industriais;Transporte;Exploração de Rodovias;ANHB;AUTOBAN     
Bens Industriais;Transporte;Exploração de Rodovias;CCRO;CCR SA      
Bens Industriais;Transporte;Exploração de Rodovias;RPTA;CONC RAPOSO 
Bens Industriais;Transporte;Exploração de Rodovias;CRTE;CONC RIO TER
Bens Industriais;Transporte;Exploração de Rodovias;ASCP;ECOPISTAS   
Bens Industriais;Transporte;Exploração de Rodovias;ECOR;ECORODOVIAS 
Bens Industriais;Transporte;Exploração de Rodovias;ECOV;ECOVIAS     
Bens Industriais;Transporte;Exploração de Rodovias;COLN;ROD COLINAS 
Bens Industriais;Transporte;Exploração de Rodovias;RDVT;ROD TIETE   
Bens Industriais;Transporte;Exploração de Rodovias;CRBD;RT BANDEIRAS
Bens Industriais;Transporte;Exploração de Rodovias;TRIA;TRIANGULOSOL
Bens Industriais;Transporte;Exploração de Rodovias;TPIS;TRIUNFO PART
Bens Industriais;Transporte;Exploração de Rodovias;VOES;VIAOESTE    
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;AGRU;GRUAIRPORT
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;HMOB;HMOBI S.A
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;IVPR;INVEPAR     
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;PSVM;PORTO VM
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;SAIP;SALUS INFRA
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;STBP;SANTOS BRP  
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;PORT;WILSON SONS 
